run,table,token_role,object_type,after_change_status,_rkl_bin,_nll_bin,_entropy_bin,_teacher_stance,_offline_risk_bin,count,share,object_token_count,hallucinated_object_token_rate,hallucination_rate,removed_rate,offline_risk_tail_rate,rkl_base_to_teacher,rkl_base_to_teacher_mean,base_nll,base_nll_mean,base_entropy,base_entropy_mean,teacher_minus_base_nll,teacher_minus_base_nll_mean,rkl_after_to_base,rkl_after_to_base_mean,jsd_after_base,jsd_after_base_mean,delta_logp_after_base,delta_logp_after_base_mean,delta_entropy_after_base,delta_entropy_after_base_mean,after_base_top1_match_rate,after_base_topk_jaccard,after_base_topk_jaccard_mean,stable_rate,sharpen_same_top1_rate,reshape_topk_rate,suppress_emitted_rate,boost_emitted_rate,after_base_topk_jaccard_p50,after_base_topk_jaccard_p75,after_base_topk_jaccard_p90,after_mass_on_base_topk,after_mass_on_base_topk_p50,after_mass_on_base_topk_p75,after_mass_on_base_topk_p90,after_selected_rank,after_selected_rank_p50,after_selected_rank_p75,after_selected_rank_p90,after_teacher_top1_match_rate,base_entropy_p50,base_entropy_p75,base_entropy_p90,base_nll_p50,base_nll_p75,base_nll_p90,base_selected_rank,base_selected_rank_p50,base_selected_rank_p75,base_selected_rank_p90,base_teacher_top1_match_rate,delta_after_base_mass_on_teacher_topk,delta_after_base_mass_on_teacher_topk_p50,delta_after_base_mass_on_teacher_topk_p75,delta_after_base_mass_on_teacher_topk_p90,delta_entropy_after_base_p50,delta_entropy_after_base_p75,delta_entropy_after_base_p90,delta_logp_after_base_p50,delta_logp_after_base_p75,delta_logp_after_base_p90,delta_top1_margin_after_base,delta_top1_margin_after_base_p50,delta_top1_margin_after_base_p75,delta_top1_margin_after_base_p90,delta_top1_prob_after_base,delta_top1_prob_after_base_p50,delta_top1_prob_after_base_p75,delta_top1_prob_after_base_p90,emit_in_after_topk_rate,emit_in_base_topk_rate,emit_in_teacher_topk_rate,jsd_after_base_p50,jsd_after_base_p75,jsd_after_base_p90,jsd_base_teacher,jsd_base_teacher_p50,jsd_base_teacher_p75,jsd_base_teacher_p90,mechanism_stable_rate,riskmask_entropy_selected_rate,riskmask_nll_selected_rate,rkl_after_to_base_p50,rkl_after_to_base_p75,rkl_after_to_base_p90,rkl_base_to_teacher_p50,rkl_base_to_teacher_p75,rkl_base_to_teacher_p90,teacher_entropy,teacher_entropy_p50,teacher_entropy_p75,teacher_entropy_p90,teacher_minus_base_nll_p50,teacher_minus_base_nll_p75,teacher_minus_base_nll_p90,teacher_nll,teacher_nll_p50,teacher_nll_p75,teacher_nll_p90,unique_images,after_base_topk_jaccard_mean_p50,after_base_topk_jaccard_mean_p75,after_base_topk_jaccard_mean_p90,base_entropy_mean_p50,base_entropy_mean_p75,base_entropy_mean_p90,base_nll_mean_p50,base_nll_mean_p75,base_nll_mean_p90,delta_entropy_after_base_mean_p50,delta_entropy_after_base_mean_p75,delta_entropy_after_base_mean_p90,delta_logp_after_base_mean_p50,delta_logp_after_base_mean_p75,delta_logp_after_base_mean_p90,jsd_after_base_mean_p50,jsd_after_base_mean_p75,jsd_after_base_mean_p90,mechanism_boost_emitted_frac,mechanism_boost_emitted_frac_p50,mechanism_boost_emitted_frac_p75,mechanism_boost_emitted_frac_p90,mechanism_reshape_topk_frac,mechanism_reshape_topk_frac_p50,mechanism_reshape_topk_frac_p75,mechanism_reshape_topk_frac_p90,mechanism_sharpen_same_top1_frac,mechanism_sharpen_same_top1_frac_p50,mechanism_sharpen_same_top1_frac_p75,mechanism_sharpen_same_top1_frac_p90,mechanism_stable_frac,mechanism_stable_frac_p50,mechanism_stable_frac_p75,mechanism_stable_frac_p90,mechanism_suppress_emitted_frac,mechanism_suppress_emitted_frac_p50,mechanism_suppress_emitted_frac_p75,mechanism_suppress_emitted_frac_p90,mechanism_unknown_rate,removed_correct_rate,removed_hallucination_rate,riskmask_nll_selected_token_frac,riskmask_nll_selected_token_frac_p50,riskmask_nll_selected_token_frac_p75,riskmask_nll_selected_token_frac_p90,rkl_after_to_base_mean_p50,rkl_after_to_base_mean_p75,rkl_after_to_base_mean_p90,rkl_base_to_teacher_mean_p50,rkl_base_to_teacher_mean_p75,rkl_base_to_teacher_mean_p90,teacher_entropy_mean,teacher_entropy_mean_p50,teacher_entropy_mean_p75,teacher_entropy_mean_p90,teacher_minus_base_nll_mean_p50,teacher_minus_base_nll_mean_p75,teacher_minus_base_nll_mean_p90,teacher_nll_mean,teacher_nll_mean_p50,teacher_nll_mean_p75,teacher_nll_mean_p90,mechanism_boost_emitted_rate,mechanism_reshape_topk_rate,mechanism_sharpen_same_top1_rate,mechanism_suppress_emitted_rate
base_self,token_role_x_rkl_nll,correct_object,,,highRKL,highNLL,,,,2318,0.0040420245,2318,0,,,1,0.15377595,,1.0689316,,1.3807514,,-0.093216621,,0,,1.344581e-09,,0,,0,,1,1,,1,0,0,0,0,1,1,1,0.98924419,0.99900344,0.99989435,0.99999281,1.553063,1,2,2,0.72476273,1.280873,1.6601825,2.1498364,0.82863408,1.2410426,1.8763841,1.553063,1,2,2,0.72476273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99956859,0.99956859,1,0,1.2264743e-09,4.2971631e-09,0.03174745,0.015996824,0.034614655,0.072249435,1,0.97627265,1,0,0,0,0.066772405,0.14618796,0.32049239,1.3269031,1.236754,1.6297834,2.1312604,-0.11282437,0.17649738,0.44140964,0.97571496,0.78073493,1.1855693,1.8098692,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_self,token_role_x_rkl_nll,correct_object,,,highRKL,lowNLL,,,,1980,0.0034526353,1980,0,,,0.44949495,0.089571383,,0.19150481,,0.59931219,,0.065192579,,0,,4.4944943e-10,,0,,0,,1,1,,1,0,0,0,0,1,1,1,0.9983781,0.99986315,0.99998982,0.99999899,1,1,1,1,0.96969697,0.58665544,0.79253218,1.0120868,0.1832099,0.28406237,0.3627379,1,1,1,1,0.96969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6.7309912e-09,1.5629822e-08,0.01935787,0.0095964978,0.018099541,0.038723438,1,0.46666667,0.44949495,0,0,0,0.039774897,0.077367537,0.16486434,0.62671491,0.59166139,0.84036501,1.0919006,0.031098391,0.12422527,0.24297418,0.25669739,0.18372693,0.32995262,0.50315417,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_self,token_role_x_rkl_nll,correct_object,,,lowRKL,highNLL,,,,944,0.0016461049,944,0,,,0.47775424,0.0072588435,,0.80436273,,1.0831228,,-0.0091577309,,0,,6.8977573e-10,,0,,0,,1,1,,1,0,0,0,0,1,1,1,0.99655981,0.99979472,0.99997582,0.99999796,1.2489407,1,1,2,0.92690678,1.0033534,1.2997695,1.5946773,0.67459813,0.89312366,1.191738,1.2489407,1,1,2,0.92690678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.99894068,0,7.2038879e-10,1.9794709e-09,0.0017984342,0.0018353465,0.0025788979,0.0034932573,1,0.34745763,0.47775424,0,0,0,0.0073966775,0.010509487,0.014087428,1.0786896,0.99245292,1.2835918,1.5960434,-0.0037359297,0.047936916,0.10859915,0.795205,0.66524604,0.88431035,1.1843237,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_self,token_role_x_rkl_nll,correct_object,,,lowRKL,lowNLL,,,,10803,0.018837787,10803,0,,,0.0014810701,0.002090623,,0.045506662,,0.15523477,,0.00042281202,,0,,5.3258557e-10,,0,,0,,1,1,,1,0,0,0,0,1,1,1,0.99972603,0.99999863,0.99999994,1,1,1,1,1,1,0.028783785,0.2172775,0.53580668,0.0038619475,0.045741608,0.16386198,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.9942312e-12,7.2595474e-09,1.9919575e-08,0.00051196823,5.1009349e-05,0.00060862768,0.0018007584,1,0.008423586,0.0014810701,0,0,0,0.0002141787,0.00253501,0.0074451039,0.15537445,0.02807866,0.22038005,0.53585762,0,0.00059131082,0.013438722,0.045929474,0.0037724061,0.046197649,0.16340532,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_self,token_role_x_rkl_nll,hallucinated_object,,,highRKL,highNLL,,,,732,0.0012764288,732,1,,,1,0.18321377,,1.2700455,,1.50497,,-0.041751058,,0,,1.6193179e-09,,0,,0,,1,1,,1,0,0,0,0,1,1,1,0.98656534,0.99762419,0.99964064,0.9999617,1.8825137,1,2,3,0.7226776,1.4343671,1.819762,2.2526493,0.9515312,1.4796863,2.3857386,1.8825137,1,2,3,0.7226776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99453552,0.99453552,0.99180328,0,1.9506078e-09,5.4777547e-09,0.038156629,0.017611072,0.041270328,0.083764067,1,0.97540984,1,0,0,0,0.072692465,0.17538234,0.38997916,1.4677175,1.3913535,1.791893,2.3190033,-0.10393387,0.22199431,0.6063974,1.2282944,0.90660414,1.49747,2.3573206,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_self,token_role_x_rkl_nll,hallucinated_object,,,highRKL,lowNLL,,,,419,0.00073063342,419,1,,,0.49164678,0.098169158,,0.20640928,,0.66514126,,0.088683369,,0,,7.0934746e-10,,0,,0,,1,1,,1,0,0,0,0,1,1,1,0.99741556,0.99979997,0.99997017,0.99999607,1,1,1,1,0.96897375,0.64798641,0.85641381,1.0714857,0.20076998,0.2993017,0.3747698,1,1,1,1,0.96897375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6.6798576e-09,1.3980847e-08,0.022662943,0.0095765153,0.020628791,0.042513819,1,0.54892601,0.49164678,0,0,0,0.040946264,0.087680008,0.18840958,0.71593843,0.67044342,0.9021849,1.2075932,0.046313606,0.13375159,0.31291215,0.29509265,0.21381116,0.39060694,0.5591361,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_self,token_role_x_rkl_nll,hallucinated_object,,,lowRKL,highNLL,,,,207,0.00036095732,207,1,,,0.5410628,0.0076313709,,0.91382053,,1.1875622,,-0.0038790238,,0,,7.582913e-10,,0,,0,,1,1,,1,0,0,0,0,1,1,1,0.99444197,0.99940777,0.99993977,0.99999665,1.5990338,1,1,2,0.91304348,1.1324373,1.4207458,1.6751924,0.6790297,0.98930445,1.4048181,1.5990338,1,1,2,0.91304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99516908,0.99516908,0.99516908,0,1.0658367e-09,2.8506852e-09,0.0018987701,0.0019323984,0.0026386122,0.0034797148,1,0.4589372,0.5410628,0,0,0,0.0075742784,0.010957863,0.013855717,1.1858525,1.1180409,1.399713,1.6808341,-9.727478e-05,0.067222431,0.11899174,0.90994151,0.69151711,0.96496797,1.4374363,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_self,token_role_x_rkl_nll,hallucinated_object,,,lowRKL,lowNLL,,,,1592,0.0027760582,1592,1,,,0.0018844221,0.0025283434,,0.056507873,,0.19509713,,0.00057975216,,0,,7.4888415e-10,,0,,0,,1,1,,1,0,0,0,0,1,1,1,0.99970631,0.9999952,0.99999982,1,1,1,1,1,1,0.065262873,0.31277347,0.60326633,0.010103865,0.074300721,0.20263998,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8.3893829e-12,1.0464174e-08,2.1432861e-08,0.00062167751,0.00013503817,0.00087594397,0.0020801656,1,0.0094221106,0.0018844221,0,0,0,0.00055098865,0.003578962,0.0083375043,0.19516049,0.066163339,0.31361792,0.59911834,-1.1920918e-07,0.0013991918,0.019448119,0.057087625,0.010654529,0.071583763,0.2020872,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_self,token_role_x_rkl_nll,non_object_token,,,highRKL,highNLL,,,,104556,0.18232007,0,,,,1,0.12407967,,1.0757227,,1.4661024,,-0.058071188,,0,,1.0542868e-09,,0,,0,,1,1,,1,0,0,0,0,1,1,1,0.99077028,0.99865201,0.99984945,0.99998575,1.5711676,1,2,2,0.73318604,1.3994005,1.7559658,2.1380318,0.87366045,1.2886458,1.8399977,1.5711676,1,2,2,0.73318604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99897662,0.99897662,0.99870883,0,1.1676905e-09,3.1737736e-09,0.02663695,0.013306205,0.02779784,0.057687286,1,0.98448678,1,0,0,0,0.054642027,0.11605753,0.25098167,1.4279982,1.3677678,1.7383705,2.126332,-0.082712173,0.17251584,0.38791901,1.0176515,0.84342921,1.2484953,1.7897431,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_self,token_role_x_rkl_nll,non_object_token,,,highRKL,lowNLL,,,,60679,0.10580932,0,,,,0.50272747,0.075605362,,0.21828133,,0.67533998,,0.06325591,,0,,4.7286164e-10,,0,,0,,1,1,,1,0,0,0,0,1,1,1,0.99851262,0.99986535,0.9999876,0.99999905,1,1,1,1,0.97725737,0.66532922,0.87747452,1.0614341,0.21731021,0.31407173,0.37634632,1,1,1,1,0.97725737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.99990112,0,2.3098856e-09,1.3619437e-08,0.017524009,0.0086575029,0.016232851,0.032807575,1,0.54902025,0.50272747,0,0,0,0.035795845,0.067484811,0.13944869,0.71278426,0.68528664,0.93218571,1.1851939,0.038003139,0.13060264,0.24208906,0.28153724,0.22367766,0.37754907,0.53911505,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
